park code,Park,Month,Record high temp F,Average high temp F,Daily mean temp F,Average low temp F,Record Low Temp F,Average precipation IN,Average snowfall IN,Average precipation DAYS
CARE,Capitol Reef National Park,Year,104,65.5,53.7,41.9,-9,7.88,10.9,54.5
CAVE,Carlsbad Caverns National Park,Jan,81,56,44.9,33.7,-4,0.32,0.4,3.7
CAVE,Carlsbad Caverns National Park,Feb,86,60.9,48.8,36.8,-4,0.44,0.9,2.7
CAVE,Carlsbad Caverns National Park,Mar,90,67.9,55.2,42.6,10,0.57,0,3.2
CAVE,Carlsbad Caverns National Park,Apr,96,75.7,62.5,49.3,21,0.5,0,2.3
CAVE,Carlsbad Caverns National Park,May,106,84.1,71.2,58.3,31,1.25,0,3.5
CAVE,Carlsbad Caverns National Park,Jun,110,92.4,79.1,65.7,41,1.16,0,4.8
CAVE,Carlsbad Caverns National Park,Jul,106,91.2,79.5,67.8,42,2.23,0,5.6
CAVE,Carlsbad Caverns National Park,Aug,105,90.3,78.3,66.3,47,2,0,6.4
CAVE,Carlsbad Caverns National Park,Sep,100,83.2,71.8,60.4,33,2.93,0,6.2
CAVE,Carlsbad Caverns National Park,Oct,97,75.4,63.8,52.1,15,1.16,0,5.1
CAVE,Carlsbad Caverns National Park,Nov,87,64.6,53.2,41.9,8,0.68,0.2,3
CAVE,Carlsbad Caverns National Park,Dec,82,56.6,45.9,35.1,2,0.55,2,3.2
CAVE,Carlsbad Caverns National Park,Year,110,74.9,62.8,50.8,-4,13.79,3.5,49.7
CHIS,Channel Islands National Park,Jan,81.5,62.4,,51.6,37,2.7,,
CHIS,Channel Islands National Park,Feb,77.8,61.4,,52.3,39.5,3.03,,
CHIS,Channel Islands National Park,Mar,83.5,62,,52.4,40.5,1.87,,
CHIS,Channel Islands National Park,Apr,90.8,63.6,,51.7,39.7,0.72,,
CHIS,Channel Islands National Park,May,86,64.9,,54.6,47.6,0.11,,
CHIS,Channel Islands National Park,Jun,97.4,66.8,,57.3,49.7,0.01,,
CHIS,Channel Islands National Park,Jul,85.1,68.8,,59.7,53.7,0.02,,
CHIS,Channel Islands National Park,Aug,81.6,69.7,,60.9,53.1,0.03,,
CHIS,Channel Islands National Park,Sep,90.4,70.1,,60.7,53.3,0.35,,
CHIS,Channel Islands National Park,Oct,92.6,69,,59.1,47.5,0.54,,
CHIS,Channel Islands National Park,Nov,94.1,65.9,,55.3,44.6,0.96,,
CHIS,Channel Islands National Park,Dec,77.9,61.8,,52,36.9,1.55,,
CHIS,Channel Islands National Park,Year,97.4,65.6,,55.7,36.9,11.89,,
CONG,Congaree National Park,Jan,81.2,57.6,,34.4,1.2,3.89,,
CONG,Congaree National Park,Feb,84.1,61.2,,36.2,13.2,3.58,,
CONG,Congaree National Park,Mar,89.1,68.6,,42.7,17.6,3.97,,
CONG,Congaree National Park,Apr,91.6,76.2,,50.6,27.5,3.12,,
CONG,Congaree National Park,May,99.6,83,,59.6,37.5,3.47,,
CONG,Congaree National Park,Jun,105.3,89.2,,67.6,47.4,4.97,,
CONG,Congaree National Park,Jul,105.1,92.3,,71.1,56.5,4.84,,
CONG,Congaree National Park,Aug,104.8,90.6,,70.4,54.8,5.01,,
CONG,Congaree National Park,Sep,98.1,85.7,,64.6,44.7,4.43,,
CONG,Congaree National Park,Oct,98.4,76.8,,52.5,29.3,3.55,,
CONG,Congaree National Park,Nov,85.6,67.5,,41.3,18.8,2.97,,
CONG,Congaree National Park,Dec,82.2,59.9,,36.2,8.5,3.77,,
CONG,Congaree National Park,Year,105.3,75.8,,52.3,1.2,47.57,,
CRLA,Crater Lake National Park,Jan,64,33.4,26.6,19.8,-21,10.1,86.5,17.9
CRLA,Crater Lake National Park,Feb,66,33.6,26.3,18.9,-18,7.53,68.9,16.7
CRLA,Crater Lake National Park,Mar,67,36.1,28.2,20.3,-7,7.81,71.9,18
CRLA,Crater Lake National Park,Apr,71,40.3,31.7,23.1,-3,6.16,48.7,16.5
CRLA,Crater Lake National Park,May,80,49,39.2,29.3,5,3.65,14.5,11.5
CRLA,Crater Lake National Park,Jun,95,57,45.3,33.6,10,2.27,3.7,7.4
CRLA,Crater Lake National Park,Jul,100,68.9,55.1,41.4,18,0.8,0,3.5
CRLA,Crater Lake National Park,Aug,94,69.3,55.4,41.5,16,0.83,0,3.7
CRLA,Crater Lake National Park,Sep,93,63,50.1,37.1,16,1.93,1.8,5.3
CRLA,Crater Lake National Park,Oct,81,50.7,40.4,30.2,3,4.8,17.2,10.6
CRLA,Crater Lake National Park,Nov,71,38,30.6,23.2,-7,9.6,59.3,16.7
CRLA,Crater Lake National Park,Dec,64,32.7,25.9,19.1,-18,11.28,90.6,18.4
CRLA,Crater Lake National Park,Year,100,47.7,37.9,28.1,-21,66.76,463.1,146.2
CUVA,Cuyahoga National Park,Jan,69.3,34.9,,20.7,-23.3,2.43,,
CUVA,Cuyahoga National Park,Feb,75.7,38.1,,22.3,-12.2,2.08,,
CUVA,Cuyahoga National Park,Mar,82.5,47.1,,28.9,-5.7,2.77,,
CUVA,Cuyahoga National Park,Apr,86.8,59.5,,39.6,14.5,3.35,,
CUVA,Cuyahoga National Park,May,91.5,70.2,,49.1,29.3,3.92,,
CUVA,Cuyahoga National Park,Jun,101.7,79.6,,59.2,37.4,3.84,,
CUVA,Cuyahoga National Park,Jul,100.8,83.4,,63.4,44.6,3.94,,
CUVA,Cuyahoga National Park,Aug,97.6,81.5,,62,41.3,3.56,,
CUVA,Cuyahoga National Park,Sep,93.3,74.8,,55.2,35.7,3.51,,
CUVA,Cuyahoga National Park,Oct,89.6,63.2,,44.7,21.5,2.88,,
CUVA,Cuyahoga National Park,Nov,78.5,51.5,,35.9,10.6,3.27,,
CUVA,Cuyahoga National Park,Dec,75.9,38.9,,25.8,-14.9,2.87,,
CUVA,Cuyahoga National Park,Year,101.7,60.3,,42.3,-23.3,38.42,,
DENA,Denali National Park,Jan,52,10.1,2.2,-5.7,-52,0.61,9.6,8.3
DENA,Denali National Park,Feb,52,19.6,9.3,-0.9,-54,0.71,9.6,6.9
DENA,Denali National Park,Mar,56,25.1,12.5,-0.1,-47,0.51,8.2,5.8
DENA,Denali National Park,Apr,67,40.6,28.7,16.9,-33,0.43,6.9,4.4
DENA,Denali National Park,May,81,54.9,43,31.1,-14,0.84,2.6,7.3
DENA,Denali National Park,Jun,91,65.3,53,40.8,19,2.42,0.1,14
DENA,Denali National Park,Jul,88,66.4,55.5,44.5,23,3.12,0,16.2
DENA,Denali National Park,Aug,88,61.1,50.9,40.8,17,3.01,0,16.9
DENA,Denali National Park,Sep,82,50.7,40.8,30.9,-6,1.74,5,13.4
DENA,Denali National Park,Oct,69,33.7,24.7,15.7,-24,0.84,9.4,9.8
DENA,Denali National Park,Nov,56,17.6,9.8,1.9,-37,0.84,12.9,10.6
DENA,Denali National Park,Dec,52,13.8,5.6,-2.5,-54,0.83,12.4,9.7
DENA,Denali National Park,Year,91,38.3,28,17.8,-54,15.9,76.7,123.3
DEVA,Death Valley National Park,Jan,90,67.2,54.9,42.5,15,0.37,,2.4
DEVA,Death Valley National Park,Feb,97,73.7,61.3,49,20,0.52,,2.9
DEVA,Death Valley National Park,Mar,103,82.6,69.8,57.1,26,0.25,,2
DEVA,Death Valley National Park,Apr,113,91,77.9,64.8,35,0.1,,1.1
DEVA,Death Valley National Park,May,122,100.7,87.8,75,42,0.03,,0.9
DEVA,Death Valley National Park,Jun,128,111.1,97.5,84,49,0.05,,0.3
DEVA,Death Valley National Park,Jul,134,117.4,104.2,91,62,0.1,,1.1
DEVA,Death Valley National Park,Aug,130,115.9,102.3,88.7,65,0.1,,0.9
DEVA,Death Valley National Park,Sep,125,107.7,93.4,79.1,41,0.2,,0.8
DEVA,Death Valley National Park,Oct,113,93.3,78.9,64.4,32,0.12,,1.1
DEVA,Death Valley National Park,Nov,98,77.4,64,50.5,24,0.1,,0.9
DEVA,Death Valley National Park,Dec,89,65.6,53.4,41.1,19,0.26,,1.6
DEVA,Death Valley National Park,Year,134,92,78.8,65.6,15,2.2,,16
DENA,Denali National Park,Jan,52,10.1,2.2,-5.7,-52,0.61,9.6,8.3
DENA,Denali National Park,Feb,52,19.6,9.3,-0.9,-54,0.71,9.6,6.9
DENA,Denali National Park,Mar,56,25.1,12.5,-0.1,-47,0.51,8.2,5.8
DENA,Denali National Park,Apr,67,40.6,28.7,16.9,-33,0.43,6.9,4.4
DENA,Denali National Park,May,81,54.9,43,31.1,-14,0.84,2.6,7.3
DENA,Denali National Park,Jun,91,65.3,53,40.8,19,2.42,0.1,14
DENA,Denali National Park,Jul,88,66.4,55.5,44.5,23,3.12,0,16.2
DENA,Denali National Park,Aug,88,61.1,50.9,40.8,17,3.01,0,16.9
DENA,Denali National Park,Sep,82,50.7,40.8,30.9,-6,1.74,5,13.4
DENA,Denali National Park,Oct,69,33.7,24.7,15.7,-24,0.84,9.4,9.8
DENA,Denali National Park,Nov,56,17.6,9.8,1.9,-37,0.84,12.9,10.6
DENA,Denali National Park,Dec,52,13.8,5.6,-2.5,-54,0.83,12.4,9.7
DENA,Denali National Park,Year,91,38.3,28,17.8,-54,15.9,76.7,123.3
DRTO,Dry Tortugas National Park,Jan,89,73.9,69.3,64.7,46,2.35,,6.9
DRTO,Dry Tortugas National Park,Feb,92,75.5,70.5,65.5,40,1.69,,5.7
DRTO,Dry Tortugas National Park,Mar,93,78.7,73.1,67.5,47,2.07,,4.1
DRTO,Dry Tortugas National Park,Apr,94,82.7,76.9,71.1,56,2.6,,4.2
DRTO,Dry Tortugas National Park,May,96,86,80.3,74.5,55,2.02,,4.5
DRTO,Dry Tortugas National Park,Jun,99,89.2,83.3,77.4,64,4.26,,7.4
DRTO,Dry Tortugas National Park,Jul,98,91,84.4,77.9,64,2.19,,8.7
DRTO,Dry Tortugas National Park,Aug,101,91.4,85.2,79,65,4.31,,10.4
DRTO,Dry Tortugas National Park,Sep,98,88.9,83.4,77.9,66,7.18,,11.9
DRTO,Dry Tortugas National Park,Oct,95,85,80.4,75.8,59,4.72,,9.8
DRTO,Dry Tortugas National Park,Nov,90,79.4,74.9,70.5,51,1.88,,4.3
DRTO,Dry Tortugas National Park,Dec,88,75.7,71.2,66.6,48,2.36,,6.1
DRTO,Dry Tortugas National Park,Year,101,83.1,77.7,72.4,40,37.63,,84
EVER,Everglades National Park,Jan,92,78,66.6,55.1,24,1.7,,6.6
EVER,Everglades National Park,Feb,97,80.9,68.7,56.5,29,1.82,,6.5
EVER,Everglades National Park,Mar,101,83.3,70.7,58,31,1.93,,6.7
EVER,Everglades National Park,Apr,102,86.4,74.2,62,37,2.85,,6.3
EVER,Everglades National Park,May,107,89.4,78,66.6,49,5.84,,10.9
EVER,Everglades National Park,Jun,104,91.1,81.6,72,50,9,,17.2
EVER,Everglades National Park,Jul,102,92.5,83,73.5,66,6.82,,17.2
EVER,Everglades National Park,Aug,103,92.6,83.5,74.3,66,8.57,,19.2
EVER,Everglades National Park,Sep,105,91.3,82.8,74.2,64,9.01,,18.3
EVER,Everglades National Park,Oct,106,88,79.4,70.9,49,5.55,,12.6
EVER,Everglades National Park,Nov,99,83.2,73.5,63.8,31,2.39,,7.8
EVER,Everglades National Park,Dec,95,80,69.3,58.6,27,1.88,,6.6
EVER,Everglades National Park,Year,107,86.4,75.9,65.5,24,57.36,,135.9
GLAC,Glacier National Park,Jan,55,29.9,24.6,19.3,-35,3.54,32,17.9
GLAC,Glacier National Park,Feb,58,33.6,26.5,19.4,-32,2.17,16,14.5
GLAC,Glacier National Park,Mar,66,42.5,33.8,25.1,-30,2.58,14,15
GLAC,Glacier National Park,Apr,83,52.6,42,31.4,3,2.15,3.1,13.9
GLAC,Glacier National Park,May,90,64.1,51.6,39,13,2.62,0.5,13.6
GLAC,Glacier National Park,Jun,97,70.4,57.8,45.1,24,3.8,0,14.9
GLAC,Glacier National Park,Jul,99,80.2,64.9,49.6,31,1.39,0,8.5
GLAC,Glacier National Park,Aug,100,79.4,63.6,47.9,26,1.17,0,6.8
GLAC,Glacier National Park,Sep,95,68,54.4,40.8,18,1.96,0,9.6
GLAC,Glacier National Park,Oct,79,51.7,42.3,32.9,-3,3.05,2,13.6
GLAC,Glacier National Park,Nov,65,37,31.7,26.4,-17,3.23,16.2,16.3
GLAC,Glacier National Park,Dec,52,29.2,24.5,19.9,-36,3.21,31.4,17.8
GLAC,Glacier National Park,Year,100,53.2,43.1,33.1,-36,30.87,115.2,162.4
GLBA,Glacier Bay National Park,Jan,52,31.6,28.5,25.5,-11,6.71,28,21.9
GLBA,Glacier Bay National Park,Feb,53,33.5,29.7,26,-4,4.76,18.6,14.3
GLBA,Glacier Bay National Park,Mar,55,36.9,32.3,27.7,-5,4.35,14.8,14
GLBA,Glacier Bay National Park,Apr,73,45.5,39.3,33,17,3.38,2.2,14.1
GLBA,Glacier Bay National Park,May,77,54,46.6,39.2,20,3.06,0,15.4
GLBA,Glacier Bay National Park,Jun,82,59.1,52.2,45.3,26,2.83,0,12.3
GLBA,Glacier Bay National Park,Jul,81,60.7,54.6,48.5,37,4.76,0,15.1
GLBA,Glacier Bay National Park,Aug,81,60,54,47.9,32,5.97,0,17.9
GLBA,Glacier Bay National Park,Sep,71,53.5,48.4,43.3,21,9.16,0,21.8
GLBA,Glacier Bay National Park,Oct,63,45,41,37,3,10.16,1,23.1
GLBA,Glacier Bay National Park,Nov,53,36.5,33.4,30.4,0,8.51,16,20.5
GLBA,Glacier Bay National Park,Dec,53,33.2,30.3,27.3,-3,8.95,22.6,20.9
GLBA,Glacier Bay National Park,Year,82,45.8,40.9,35.9,-11,72.6,103.2,211.3
GRCA,Grand Canyon National Park,Jan,64,44.3,31.7,19.2,-17,1.76,12.9,6.4
GRCA,Grand Canyon National Park,Feb,69,46.3,33.7,21.1,-20,1.23,7.8,6.1
GRCA,Grand Canyon National Park,Mar,77,53.6,39.3,25,-1,1.85,8.1,5.9
GRCA,Grand Canyon National Park,Apr,82,60.9,44.9,28.8,8,0.64,2.8,3.5
GRCA,Grand Canyon National Park,May,92,69.9,52.8,35.6,17,0.4,0.1,2.6
GRCA,Grand Canyon National Park,Jun,101,82,62.5,43,25,0.22,0,1.7
GRCA,Grand Canyon National Park,Jul,97,84.9,67.7,50.4,35,2.33,0,7
GRCA,Grand Canyon National Park,Aug,97,82.1,65.9,49.8,35,2.19,0,10.1
GRCA,Grand Canyon National Park,Sep,93,75.8,59.8,43.7,24,1.5,0,5.7
GRCA,Grand Canyon National Park,Oct,89,64.6,49,33.3,8,1.23,1.1,5.1
GRCA,Grand Canyon National Park,Nov,74,53.2,39,24.7,-6,0.77,2.2,4
GRCA,Grand Canyon National Park,Dec,65,43,30.6,18.2,-20,1.25,8,6
GRCA,Grand Canyon National Park,Year,101,63.4,48.1,32.7,-20,15.37,43,64.1
GRTE,Grand Teton National Park,Jan,50,27.4,14.3,1.2,-46,2.64,40.5,15.8
GRTE,Grand Teton National Park,Feb,55,32.3,19.2,6.2,-42,2.22,28.4,14.5
GRTE,Grand Teton National Park,Mar,65,41.7,28.2,14.8,-25,1.81,19.5,11.5
GRTE,Grand Teton National Park,Apr,78,50.2,36.9,23.7,-10,1.8,9.8,10.3
GRTE,Grand Teton National Park,May,88,61.5,47.1,32.7,7,1.99,0.9,12
GRTE,Grand Teton National Park,Jun,92,71.1,54.9,38.6,20,1.81,0,10.9
GRTE,Grand Teton National Park,Jul,97,81.7,62.7,43.7,26,1.15,0,8.8
GRTE,Grand Teton National Park,Aug,97,80.7,61.2,41.7,22,1.22,0,8.7
GRTE,Grand Teton National Park,Sep,92,70.8,52.5,34.2,6,1.57,0.3,8.3
GRTE,Grand Teton National Park,Oct,83,55.6,40.3,25.1,-9,1.69,4.2,9.3
GRTE,Grand Teton National Park,Nov,67,39.3,27.4,15.4,-25,2.33,18.2,10.4
GRTE,Grand Teton National Park,Dec,55,28.2,16.2,4.3,-43,2.78,44.1,16.1
GRTE,Grand Teton National Park,Year,97,53.4,38.4,23.5,-46,23.01,165.9,136.6
GRBA,Great Basin National Park,Jan,67,39.5,29.6,19.7,-20,1.3,12.3,6.5
GRBA,Great Basin National Park,Feb,68,40.6,30.6,20.6,-15,1.49,20.7,7.1
GRBA,Great Basin National Park,Mar,74,48.3,37.6,27,-2,1.21,7.3,6.7
GRBA,Great Basin National Park,Apr,81,55.3,43.6,31.9,10,1.57,7.2,6.8
GRBA,Great Basin National Park,May,91,64.3,52.3,40.2,6,1.25,0.7,7.6
GRBA,Great Basin National Park,Jun,100,76.2,62.8,49.4,14,1.1,0,4.7
GRBA,Great Basin National Park,Jul,100,84.6,71.4,58.1,32,0.9,0,7.3
GRBA,Great Basin National Park,Aug,97,82.8,69.3,55.9,32,1.22,0,7.3
GRBA,Great Basin National Park,Sep,93,73.4,60.6,47.7,10,1.08,0,5.8
GRBA,Great Basin National Park,Oct,83,60.1,48.2,36.3,2,1.28,2,5.6
GRBA,Great Basin National Park,Nov,78,47.5,36.8,26.1,-6,0.86,6.9,5.5
GRBA,Great Basin National Park,Dec,67,39.6,29.5,19.5,-19,0.99,9.6,6.3
GRBA,Great Basin National Park,Year,100,59.3,47.7,36,-20,14.25,66.7,77.2
GRSA,Great Sand Dunes National Park,Jan,67,33.4,22.3,11.3,-25,0.58,8.1,4.9
