,Park Code,Year,Park Unit,Recreation Visits,Overnight Stays,All Visitors Spend,Non-Local Visitors Spend,Jobs,Labor Income,Value Added,Output
42,CANY,2010,Canyonlands NP,"435,908","88,191","$34,633,000.00","$34,291,000.00",474,"$12,713,000.00","$21,154,000.00",
43,CACO,2010,Cape Cod NS,"4,653,706","22,725","$171,182,000.00","$136,191,000.00","1,856","$66,005,000.00","$108,739,000.00",
44,CAHA,2010,Cape Hatteras NS,"2,193,292","84,393","$108,475,000.00","$103,084,000.00","1,615","$42,057,000.00","$69,452,000.00",
45,CAKR,2010,Cape Krusenstern NM,"2,521",427,"$794,000.00","$794,000.00",9,"$304,000.00","$520,000.00",
46,CALO,2010,Cape Lookout NS,"530,181","29,268","$37,276,000.00","$35,501,000.00",572,"$12,749,000.00","$20,852,000.00",
47,CARE,2010,Capitol Reef NP,"662,661","38,566","$37,958,000.00","$37,740,000.00",649,"$13,025,000.00","$21,439,000.00",
48,CAVO,2010,Capulin Volcano NM,"48,580",,"$1,341,000.00","$1,316,000.00",18,"$360,000.00","$590,000.00",
49,CARL,2010,Carl Sandburg Home NHS,"86,740",,"$4,315,000.00","$4,016,000.00",61,"$1,593,000.00","$2,581,000.00",
50,CAVE,2010,Carlsbad Caverns NP,"428,524",170,"$23,328,000.00","$22,744,000.00",346,"$7,225,000.00","$11,843,000.00",
51,CAGR,2010,Casa Grande Ruins NM,"77,347",,"$2,259,000.00","$2,121,000.00",23,"$585,000.00","$903,000.00",
52,CASA,2010,Castillo de San Marcos NM,"708,549",,"$45,817,000.00","$42,644,000.00",581,"$17,342,000.00","$28,697,000.00",
53,CACL,2010,Castle Clinton NM,"4,126,378",,"$77,409,000.00","$53,845,000.00",619,"$27,171,000.00","$44,063,000.00",
54,CATO,2010,Catoctin Mountain Park,"385,745","33,134","$19,576,000.00","$18,299,000.00",217,"$9,022,000.00","$14,477,000.00",
55,CEBR,2010,Cedar Breaks NM,"525,831",,"$18,309,000.00","$17,041,000.00",274,"$6,674,000.00","$10,962,000.00",
56,CHCU,2010,Chaco Culture NHP,"34,226","9,829","$925,000.00","$891,000.00",12,"$282,000.00","$459,000.00",
57,CHAM,2010,Chamizal NMEM,"226,535",,"$14,649,000.00","$13,634,000.00",232,"$5,659,000.00","$9,536,000.00",
58,CHIS,2010,Channel Islands NP,"277,515","59,584","$24,004,000.00","$22,881,000.00",300,"$11,357,000.00","$18,568,000.00",
59,CHPI,2010,Charles Pinckney NHS,"44,081",,"$2,193,000.00","$2,041,000.00",32,"$901,000.00","$1,505,000.00",
60,CHAT,2010,Chattahoochee River NRA,"3,011,393",,"$89,784,000.00","$60,449,000.00",780,"$28,133,000.00","$46,090,000.00",
61,CHOH,2010,Chesapeake & Ohio Canal NHP,"4,111,238","10,231","$53,103,000.00","$33,842,000.00",453,"$18,184,000.00","$29,230,000.00",
62,CHCH,2010,Chickamauga & Chattanooga NMP,"991,901","2,204","$49,364,000.00","$45,951,000.00",724,"$21,928,000.00","$36,116,000.00",
63,CHIC,2010,Chickasaw NRA,"1,253,637","66,127","$17,157,000.00","$13,276,000.00",174,"$3,798,000.00","$6,200,000.00",
64,CHIR,2010,Chiricahua NM,"55,436","8,521","$2,859,000.00","$2,681,000.00",35,"$900,000.00","$1,453,000.00",
65,CHRI,2010,Christiansted NHS,"117,214",,"$4,081,000.00","$3,799,000.00",58,"$1,269,000.00","$2,071,000.00",
66,CIRO,2010,City of Rocks NRES,"92,484",,"$6,278,000.00","$5,959,000.00",85,"$2,078,000.00","$3,361,000.00",
67,CLBA,2010,Clara Barton NHS,"23,741",,"$1,535,000.00","$1,429,000.00",17,"$706,000.00","$1,140,000.00",
68,COLO,2010,Colonial NHP,"3,459,965",,"$60,693,000.00","$55,798,000.00",913,"$23,734,000.00","$39,897,000.00",
69,COLM,2010,Colorado NM,"433,561","17,300","$21,766,000.00","$20,299,000.00",292,"$7,596,000.00","$12,389,000.00",
70,CONG,2010,Congaree NP,"121,208","4,981","$2,788,000.00","$2,466,000.00",44,"$1,132,000.00","$1,877,000.00",
71,CORO,2010,Coronado NMEM,"136,284",,"$4,745,000.00","$4,417,000.00",63,"$1,779,000.00","$2,910,000.00",
72,COWP,2010,Cowpens NB,"226,868",17,"$11,284,000.00","$10,503,000.00",180,"$4,770,000.00","$7,901,000.00",
73,CRLA,2010,Crater Lake NP,"448,319","80,467","$34,111,000.00","$33,088,000.00",540,"$13,393,000.00","$21,887,000.00",
74,CRMO,2010,Craters of the Moon NM & PRES,"215,698","14,856","$6,732,000.00","$6,660,000.00",95,"$2,117,000.00","$3,440,000.00",
75,CUGA,2010,Cumberland Gap NHP,"918,746","15,917","$45,833,000.00","$42,693,000.00",695,"$14,723,000.00","$23,831,000.00",
76,CUIS,2010,Cumberland Island NS,"91,996","17,979","$6,156,000.00","$5,869,000.00",92,"$2,922,000.00","$4,826,000.00",
77,CURE,2010,Curecanti NRA,"969,549","54,667","$40,364,000.00","$35,295,000.00",478,"$11,899,000.00","$19,545,000.00",
78,CUVA,2010,Cuyahoga Valley NP,"2,492,670","2,719","$54,677,000.00","$39,446,000.00",599,"$17,681,000.00","$28,912,000.00",
79,DAAV,2010,Dayton Aviation Heritage NHP,"63,961",,"$3,268,000.00","$3,092,000.00",57,"$1,472,000.00","$2,407,000.00",
80,DEVA,2010,Death Valley NP,"984,775","221,614","$48,620,000.00","$46,529,000.00",517,"$13,733,000.00","$21,544,000.00",
81,DEWA,2010,Delaware Water Gap NRA,"5,285,761","104,558","$151,261,000.00","$129,257,000.00","2,087","$57,652,000.00","$93,307,000.00",
82,DENA,2010,Denali NP & PRES,"378,855","106,108","$141,415,000.00","$141,415,000.00","1,822","$56,211,000.00","$83,330,000.00",
83,DEPO,2010,Devils Postpile NM,"80,349","4,444","$2,835,000.00","$2,646,000.00",38,"$1,081,000.00","$1,749,000.00",
84,DETO,2010,Devils Tower NM,"436,200","15,939","$15,321,000.00","$14,286,000.00",229,"$5,643,000.00","$9,295,000.00",
85,DINO,2010,Dinosaur NM,"197,812","49,659","$6,717,000.00","$6,291,000.00",77,"$2,203,000.00","$3,655,000.00",
86,DRTO,2010,Dry Tortugas NP,"53,890","13,786","$4,689,000.00","$4,480,000.00",52,"$1,899,000.00","$3,147,000.00",
87,EDAL,2010,Edgar Allan Poe NHS,"16,584",,"$1,072,000.00","$998,000.00",15,"$554,000.00","$910,000.00",
88,EFMO,2010,Effigy Mounds NM,"79,783",,"$4,625,000.00","$4,431,000.00",80,"$1,513,000.00","$2,442,000.00",
89,EISE,2010,Eisenhower NHS,"61,210",,"$3,845,000.00","$3,814,000.00",64,"$1,461,000.00","$2,368,000.00",
90,ELMA,2010,El Malpais NM,"134,662",680,"$4,924,000.00","$4,742,000.00",79,"$2,133,000.00","$3,513,000.00",
91,ELMO,2010,El Morro NM,"52,566","2,525","$1,834,000.00","$1,756,000.00",25,"$536,000.00","$889,000.00",
92,ELRO,2010,Eleanor Roosevelt NHS,"53,067",,"$907,000.00","$561,000.00",8,"$232,000.00","$377,000.00",
93,EUON,2010,Eugene O'Neill NHS,"2,445",,"$158,000.00","$147,000.00",2,"$82,000.00","$137,000.00",
94,EVER,2010,Everglades NP,"915,538","33,110","$136,494,000.00","$131,383,000.00","1,956","$72,196,000.00","$117,401,000.00",
95,FEHA,2010,Federal Hall NMEM,"178,749",,"$11,559,000.00","$10,758,000.00",124,"$6,016,000.00","$9,808,000.00",
96,FIIS,2010,Fire Island NS,"613,057","43,656","$35,076,000.00","$30,753,000.00",390,"$15,827,000.00","$25,886,000.00",
97,FILA,2010,First Ladies NHS,"8,766",,"$567,000.00","$528,000.00",9,"$205,000.00","$332,000.00",
98,FLNI,2010,Flight 93 NMEM,"137,837",,"$6,856,000.00","$6,381,000.00",102,"$2,465,000.00","$3,976,000.00",
99,FLFO,2010,Florissant Fossil Beds NM,"65,422",,"$3,254,000.00","$3,029,000.00",41,"$1,230,000.00","$2,025,000.00",
100,FOTH,2010,Ford's Theatre NHS,"662,298",,"$21,476,000.00","$19,661,000.00",234,"$9,930,000.00","$16,277,000.00",
101,FOBO,2010,Fort Bowie NHS,"9,491",,"$472,000.00","$439,000.00",6,"$150,000.00","$243,000.00",
102,FOCA,2010,Fort Caroline NMEM,"299,906",,"$19,393,000.00","$18,050,000.00",283,"$8,997,000.00","$14,846,000.00",
103,FODA,2010,Fort Davis NHS,"43,280",,"$1,507,000.00","$1,403,000.00",21,"$454,000.00","$752,000.00",
104,FODO,2010,Fort Donelson NB,"202,210",32,"$7,041,000.00","$6,553,000.00",105,"$2,241,000.00","$3,661,000.00",
105,FOFR,2010,Fort Frederica NM,"294,484",,"$14,648,000.00","$13,634,000.00",201,"$5,524,000.00","$9,044,000.00",
106,FOLA,2010,Fort Laramie NHS,"57,128",,"$1,989,000.00","$1,851,000.00",29,"$673,000.00","$1,119,000.00",
107,FOLS,2010,Fort Larned NHS,"29,423",,"$1,598,000.00","$1,563,000.00",28,"$560,000.00","$916,000.00",
108,FOMA,2010,Fort Matanzas NM,"673,700",,"$43,564,000.00","$40,547,000.00",552,"$16,489,000.00","$27,286,000.00",
109,FOMC,2010,Fort McHenry NM & HS,"611,582",,"$39,547,000.00","$36,808,000.00",483,"$15,641,000.00","$25,463,000.00",
110,FONE,2010,Fort Necessity NB,"264,450","1,105","$8,453,000.00","$7,427,000.00",113,"$2,594,000.00","$4,174,000.00",
111,FOPO,2010,Fort Point NHS,"1,315,241",,"$85,048,000.00","$79,158,000.00",879,"$40,929,000.00","$67,094,000.00",
112,FOPU,2010,Fort Pulaski NM,"416,292",29,"$20,707,000.00","$19,273,000.00",295,"$8,601,000.00","$14,244,000.00",
113,FORA,2010,Fort Raleigh NHS,"305,711",,"$10,644,000.00","$9,907,000.00",161,"$4,192,000.00","$7,002,000.00",
114,FOSC,2010,Fort Scott NHS,"27,635",,"$962,000.00","$896,000.00",15,"$298,000.00","$481,000.00",
115,FOSM,2010,Fort Smith NHS,"68,678",,"$3,416,000.00","$3,180,000.00",57,"$1,261,000.00","$2,047,000.00",
116,FOST,2010,Fort Stanwix NM,"103,748",,"$3,795,000.00","$3,632,000.00",54,"$1,425,000.00","$2,260,000.00",
117,FOSU,2010,Fort Sumter and Fort Moultrie NHP,"797,713",2,"$18,408,000.00","$16,389,000.00",238,"$6,422,000.00","$10,521,000.00",
118,FOUN,2010,Fort Union NM,"10,638",,"$631,000.00","$631,000.00",9,"$210,000.00","$351,000.00",
119,FOUS,2010,Fort Union Trading Post NHS,"14,458",,"$985,000.00","$955,000.00",15,"$322,000.00","$528,000.00",
120,FOVA,2010,Fort Vancouver NHS,"786,989",,"$39,146,000.00","$36,435,000.00",625,"$19,724,000.00","$32,614,000.00",
121,FOWA,2010,Fort Washington Park,"352,883",,"$11,443,000.00","$10,476,000.00",125,"$5,291,000.00","$8,672,000.00",
122,FOBU,2010,Fossil Butte NM,"19,700",,"$840,000.00","$840,000.00",12,"$280,000.00","$470,000.00",
123,FRDE,2010,Franklin Delano Roosevelt MEM,"2,238,052",,"$72,571,000.00","$66,441,000.00",792,"$33,554,000.00","$55,002,000.00",
124,FRDO,2010,Frederick Douglass NHS,"44,699",,"$1,449,000.00","$1,327,000.00",16,"$670,000.00","$1,099,000.00",
125,FRLA,2010,Frederick Law Olmsted NHS,"3,285",,"$212,000.00","$198,000.00",3,"$107,000.00","$173,000.00",
126,FRSP,2010,Fredericksburg & Spotsylvania NMP,"899,936",,"$44,764,000.00","$41,664,000.00",595,"$15,755,000.00","$26,228,000.00",
127,FRHI,2010,Friendship Hill NHS,"32,562",,"$2,106,000.00","$1,960,000.00",31,"$723,000.00","$1,183,000.00",
128,GAAR,2010,Gates of the Arctic NP & PRES,"10,840","7,175","$3,422,000.00","$3,422,000.00",39,"$1,329,000.00","$2,303,000.00",
129,GATE,2010,Gateway NRA,"8,820,757","12,985","$161,040,000.00","$65,265,000.00",750,"$35,747,000.00","$58,536,000.00",
130,GARI,2010,Gauley River NRA,"107,223","4,082","$4,440,000.00","$3,875,000.00",58,"$1,511,000.00","$2,451,000.00",
131,GEGR,2010,General Grant NMEM,"119,665",,"$7,738,000.00","$7,202,000.00",83,"$4,028,000.00","$6,566,000.00",
132,GERO,2010,George Rogers Clark NHP,"118,912",,"$5,915,000.00","$5,505,000.00",92,"$1,822,000.00","$2,959,000.00",
133,GEWA,2010,George Washington Birthplace NM,"128,158",,"$2,964,000.00","$1,868,000.00",28,"$591,000.00","$971,000.00",
134,GWCA,2010,George Washington Carver NM,"35,068",,"$546,000.00","$546,000.00",8,"$190,000.00","$305,000.00",
135,GWMP,2010,George Washington MEM PKWY,"6,925,099",,"$29,729,000.00","$4,337,000.00",51,"$1,990,000.00","$3,215,000.00",
136,GETT,2010,Gettysburg NMP,"1,031,554","25,944","$63,573,000.00","$63,066,000.00","1,051","$24,153,000.00","$39,159,000.00",
137,GICL,2010,Gila Cliff Dwellings NM,"32,652",,"$861,000.00","$830,000.00",13,"$238,000.00","$388,000.00",
138,GLBA,2010,Glacier Bay NP & PRES,"444,530","15,221","$3,161,000.00","$3,161,000.00",40,"$1,329,000.00","$2,259,000.00",
139,GLAC,2010,Glacier NP,"2,200,048","372,371","$108,880,000.00","$104,690,000.00","1,632","$41,958,000.00","$70,696,000.00",
140,GLCA,2010,Glen Canyon NRA,"2,124,467","1,600,687","$181,609,000.00","$181,609,000.00","2,278","$68,395,000.00","$100,298,000.00",
141,GOGA,2010,Golden Gate NRA,"14,271,503","57,499","$264,151,000.00","$109,666,000.00","1,451","$59,795,000.00","$99,870,000.00",
142,GREE,2010,Greenbelt Park,"43,561",,"$2,068,000.00","$2,019,000.00",32,"$756,000.00","$1,224,000.00",
143,GOIS,2010,Governors Island NM,"409,207",,"$36,111,000.00","$34,278,000.00",397,"$19,442,000.00","$31,718,000.00",
144,GRCA,2010,Grand Canyon NP,"4,388,386","1,245,883","$415,797,000.00","$415,797,000.00","6,167","$167,945,000.00","$265,834,000.00",
145,GRPO,2010,Grand Portage NM,"113,996",210,"$12,569,000.00","$12,506,000.00",197,"$4,510,000.00","$7,495,000.00",
146,GRTE,2010,Grand Teton NP,"2,669,374","517,670","$424,041,000.00","$420,201,000.00","6,258","$162,404,000.00","$269,247,000.00",
147,GRKO,2010,Grant-Kohrs Ranch NHS,"22,075",,"$769,000.00","$715,000.00",12,"$305,000.00","$509,000.00",
148,GRBA,2010,Great Basin NP,"88,870","35,933","$4,128,000.00","$3,959,000.00",55,"$1,149,000.00","$1,856,000.00",
149,GRSA,2010,Great Sand Dunes NP & PRES,"283,284","49,826","$10,231,000.00","$9,602,000.00",141,"$3,291,000.00","$5,365,000.00",
150,GRSM,2010,Great Smoky Mountains NP,"9,463,538","393,812","$818,195,000.00","$792,547,000.00","11,367","$303,510,000.00","$504,948,000.00",
151,GREE,2010,Greenbelt Park,"270,661","55,747","$18,366,000.00","$17,266,000.00",203,"$8,483,000.00","$13,511,000.00",
152,GUMO,2010,Guadalupe Mountains NP,"192,210","17,445","$12,973,000.00","$12,341,000.00",193,"$3,730,000.00","$6,158,000.00",
153,GUCO,2010,Guilford Courthouse NMP,"285,444",7,"$14,198,000.00","$13,215,000.00",228,"$6,276,000.00","$10,182,000.00",
154,GUIS,2010,Gulf Islands NS,"4,283,747","69,973","$118,718,000.00","$68,675,000.00","1,006","$26,759,000.00","$44,172,000.00",
155,HAFO,2010,Hagerman Fossil Beds NM,"29,795",,"$901,000.00","$787,000.00",13,"$294,000.00","$480,000.00",
156,HALE,2010,Haleakala NP,"1,105,606","21,126","$74,966,000.00","$71,195,000.00",861,"$32,974,000.00","$54,523,000.00",
157,HAGR,2010,Hamilton Grange NMEM,,,,,,,,
158,HAMP,2010,Hampton NHS,"32,153",,"$2,079,000.00","$1,935,000.00",25,"$822,000.00","$1,339,000.00",
159,HAFE,2010,Harpers Ferry NHP,"268,822",,"$10,000,000.00","$9,134,000.00",129,"$4,051,000.00","$6,556,000.00",
160,HSTR,2010,Harry S Truman NHS,"27,670",,"$1,789,000.00","$1,665,000.00",28,"$926,000.00","$1,577,000.00",
161,HAVO,2010,Hawaii Volcanoes NP,"1,304,667","77,320","$88,258,000.00","$83,901,000.00","1,162","$40,232,000.00","$66,892,000.00",
162,HEHO,2010,Herbert Hoover NHS,"142,512",,"$7,089,000.00","$6,598,000.00",111,"$2,735,000.00","$4,524,000.00",
163,HOFR,2010,Home of Franklin D. Roosevelt NHS,"140,251",,"$2,852,000.00","$2,509,000.00",36,"$1,058,000.00","$1,719,000.00",
164,HOME,2010,Homestead NHP,"74,314",,"$2,265,000.00","$2,121,000.00",36,"$789,000.00","$1,272,000.00",
165,HOCU,2010,Hopewell Culture NHP,"33,918",,"$1,181,000.00","$1,099,000.00",17,"$381,000.00","$615,000.00",
166,HOFU,2010,Hopewell Furnace NHS,"55,750",,"$2,773,000.00","$2,581,000.00",41,"$1,210,000.00","$1,972,000.00",
167,HOBE,2010,Horseshoe Bend NMP,"67,776",,"$3,371,000.00","$3,138,000.00",51,"$1,100,000.00","$1,796,000.00",
168,HOSP,2010,Hot Springs NP,"1,311,807","12,409","$89,001,000.00","$84,505,000.00","1,411","$30,685,000.00","$50,436,000.00",
169,HOVE,2010,Hovenweep NM,"27,386","1,696","$1,382,000.00","$1,291,000.00",18,"$485,000.00","$807,000.00",
170,HUTR,2010,Hubbell Trading Post NHS,"80,578",,"$4,008,000.00","$3,730,000.00",53,"$1,121,000.00","$1,901,000.00",
171,INDE,2010,Independence NHP,"3,751,007",,"$146,515,000.00","$131,163,000.00","1,915","$69,968,000.00","$115,401,000.00",
172,INDU,2010,Indiana Dunes NP,"2,150,345","24,401","$63,495,000.00","$44,456,000.00",658,"$16,276,000.00","$26,706,000.00",
173,ISRO,2010,Isle Royale NP,"15,793","48,953","$1,959,000.00","$1,959,000.00",29,"$640,000.00","$1,056,000.00",
174,JAGA,2010,James A. Garfield NHS,"24,853",,"$766,000.00","$700,000.00",11,"$341,000.00","$566,000.00",
175,JELA,2010,Jean Lafitte NHP & PRES,"391,019",,"$19,450,000.00","$18,103,000.00",260,"$9,081,000.00","$15,107,000.00",
176,,2010,"Jefferson National Expansion
Memorial","2,436,110",,"$98,436,000.00","$86,619,000.00","1,309","$37,404,000.00","$60,984,000.00",
177,JECA,2010,Jewel Cave NM,"103,462",,"$5,146,000.00","$4,790,000.00",82,"$1,955,000.00","$3,224,000.00",
178,JICA,2010,Jimmy Carter NHP,"64,849",,"$2,258,000.00","$2,102,000.00",36,"$687,000.00","$1,114,000.00",
179,JODR,2010,"John D. Rockefeller, Jr. MEM PKWY","1,222,931","33,531","$7,063,000.00","$6,527,000.00",90,"$2,336,000.00","$3,818,000.00",
180,JODA,2010,John Day Fossil Beds NM,"135,151",5,"$6,119,000.00","$6,025,000.00",75,"$1,674,000.00","$2,752,000.00",
181,JOFI,2010,John F. Kennedy NHS,"17,466",,"$1,129,000.00","$1,051,000.00",14,"$570,000.00","$920,000.00",
182,JOMU,2010,John Muir NHS,"34,904",,"$2,257,000.00","$2,101,000.00",30,"$1,004,000.00","$1,663,000.00",
183,JOFL,2010,Johnstown Flood NMEM,"100,799",,"$5,704,000.00","$5,274,000.00",93,"$2,293,000.00","$3,728,000.00",
184,JOTR,2010,Joshua Tree NP,"1,434,976","287,765","$37,485,000.00","$32,677,000.00",378,"$11,892,000.00","$18,926,000.00",
185,KALA,2010,Kalaupapa NHP,"27,919",,"$1,389,000.00","$1,293,000.00",16,"$591,000.00","$973,000.00",
186,KAHO,2010,Kaloko Honokohau NHP,"132,731",,"$6,602,000.00","$6,145,000.00",85,"$2,921,000.00","$4,841,000.00",
187,KATM,2010,Katmai NP & PRES,"55,172","6,697","$13,102,000.00","$12,952,000.00",133,"$3,686,000.00","$5,778,000.00",
188,KEFJ,2010,Kenai Fjords NP,"297,596","2,976","$9,468,000.00","$9,331,000.00",129,"$4,156,000.00","$7,080,000.00",
189,KEMO,2010,Kennesaw Mountain NBP,"1,512,191",,"$47,531,000.00","$41,342,000.00",582,"$20,220,000.00","$33,291,000.00",
190,KIMO,2010,Kings Mountain NMP,"275,555",86,"$9,469,000.00","$8,449,000.00",136,"$3,114,000.00","$5,149,000.00",
191,KLGO,2010,Klondike Gold Rush NHP Alaska,"797,716","7,237","$20,821,000.00","$20,572,000.00",267,"$8,769,000.00","$14,882,000.00",
192,KLSE,2010,Klondike Gold Rush NHP Seattle,"65,870",,"$4,259,000.00","$3,964,000.00",59,"$2,143,000.00","$3,568,000.00",
193,KNRI,2010,Knife River Indian Villages NHS,"21,721",,"$756,000.00","$704,000.00",13,"$297,000.00","$485,000.00",
194,KOVA,2010,Kobuk Valley NP,"3,164",503,"$996,000.00","$996,000.00",11,"$382,000.00","$653,000.00",
195,KOWA,2010,Korean War Veterans Memorial,"3,072,716",,"$99,636,000.00","$91,219,000.00","1,087","$46,068,000.00","$75,515,000.00",
196,LACH,2010,Lake Chelan NRA,"39,249","10,200","$1,555,000.00","$1,426,000.00",20,"$760,000.00","$1,272,000.00",
197,LACL,2010,Lake Clark NP & PRES,"9,931","5,149","$3,133,000.00","$3,133,000.00",35,"$1,212,000.00","$2,093,000.00",
198,LAKE,2010,Lake Mead NRA,"7,080,758","770,988","$254,878,000.00","$216,693,000.00","2,452","$84,942,000.00","$132,977,000.00",
199,LAMR,2010,Lake Meredith NRA,"883,586","22,249","$36,452,000.00","$31,762,000.00",435,"$10,337,000.00","$16,026,000.00",
200,LAVO,2010,Lassen Volcanic NP,"384,570","98,686","$16,053,000.00","$14,634,000.00",207,"$5,933,000.00","$9,403,000.00",
201,LABE,2010,Lava Beds NM,"130,765","9,915","$4,494,000.00","$4,288,000.00",56,"$1,408,000.00","$2,263,000.00",
202,LYBA,2010,LBJ Memorial Grove on the Potomac,"230,694",,"$14,917,000.00","$13,884,000.00",165,"$6,863,000.00","$11,075,000.00",
203,LEWI,2010,Lewis & Clark NHP,"218,553",,"$10,871,000.00","$10,118,000.00",154,"$3,380,000.00","$5,515,000.00",
204,LIBO,2010,Lincoln Boyhood NMEM,"126,228",,"$6,279,000.00","$5,844,000.00",97,"$2,049,000.00","$3,356,000.00",
