,id,url,title,parkCode,description,category,lastIndexedDate
45,9FEF9B5D-DABB-4083-ABBB-D7AB15C91724,,Park Film and Store Closed 9/21/22,peco,The park film and store will be closed all day on 9/21/22. The museum will remain open for access from 8:30 until 4:00 and staff will be stationed outside to greet visitors and provide information.,Information,2022-09-07 11:54:13.0
46,D65A02A2-3E62-4371-A128-E7B5F69B636F,https://www.nps.gov/zion/learn/news/road-improvements-happening-overnight-this-september-in-zion-national-park.htm,Zion-Mount Carmel Highway closed 9 p.m. to 6 a.m.,zion,"The Zion-Mt. Carmel Highway will close for roadwork from Canyon Junction to the park's East Entrance from 9 p.m. - 6 a.m. on the nights of Wednesday, September 7 and Thursday, September 8. The road will be open during the day. No through travel at night",Park Closure,2022-09-07 11:49:02.0
47,080E64E5-187A-4011-B3F2-CF2D6C804CF5,https://www.nps.gov/orpi/planyourvisit/upload/Temporary-Closure-Order-AMD-09022022-FINAL.pdf,"Ajo Mountain Drive Closed For Construction Starting September 6th, 2022",orpi,Ajo Mountain Drive will close starting September 6th and will remain closed until further notice for a road improvement construction project.,Park Closure,2022-09-07 10:53:56.0
48,DBB0CAE7-7742-48AF-A250-13123D57EE98,https://www.facebook.com/FortDavisNHS,Prescribed Pile Burn,foda,Fort Davis National Historic Site and Big Bend National Park Fire Managers will be having a prescribed pile burn at 11:00am 9/7/2022. For firefighters and visitors safety there will be NO Public Hiking allowed on the maintenance road up Hospital Canyon.,Danger,2022-09-07 10:25:48.0
49,1F4E255E-971E-4761-A922-3536E34F06C4,https://forecast.weather.gov/showsigwx.php?warnzone=CAZ502&warncounty=CAC041,"Heat Advisory is in effect until 8 pm on Thursday, September 8.",pore,"The NWS has issued a Heat Advisory for the Marin Coastal Range, including parts of Bolinas Ridge. Stay hydrated. Know signs/symptoms of heat illnesses. Never leave children, pets, the elderly, or disabled in vehicles for any length of time.",Caution,2022-09-07 00:09:29.0
50,00E4474F-863B-4E73-BCB3-A5D2A7A93CF3,https://www.nps.gov/crla/planyourvisit/vehicle-free-days-on-east-rim-drive.htm,"East Rim Drive Will Close to Motor Vehicles for the Annual ""Ride the Rim"" Bicycling Event",crla,"On Fri, Sept 9 at 8 pm til 6 pm on Sat Sept. 10 & on Fri, Sept 16 at 8 pm til 6 pm on Sat, Sept 17, East Rim Drive and Pinnacles Road (including viewpoints and hiking trails) will be closed to motor vehicles. All other roads (& trails) are open to all.",Park Closure,2022-09-06 18:42:46.0
51,A6F58A44-5E53-4152-AFC9-B607721F7637,,Park Headquarters Phone Down,sapu,"Until this alert is rescinded, the phone at the park headquarters visitor center is down. The phones at Quarai (505-847-2290), Abó (505-847-2400), and Gran Quivira (505-847-2770) are working properly. Please direct all phone inquiries to any of the sites.",Information,2022-09-06 18:19:40.0
52,90A581BF-6DF8-42B3-9040-456A91C44780,,COVID-19 Mask Requirement,cany,"Due to San Juan County's HIGH transmission rate, masks are required in all NPS buildings in Canyonlands regardless of vaccination status.",Caution,2022-09-06 17:13:07.0
53,BEE71513-0067-4F69-9886-FC0094EEDE35,,Road Closure on State Route 211 -- Detour to The Needles,cany,"SR-211 is closed to all traffic at Hwy 191 junction. Visitors may access The Needles from a detour. From Hwy 191 in Monticello, turn West onto 200 S. Continue 18 miles of windy mountain road (not recommended for trailers) to rejoin 211 past the closure.",Caution,2022-09-06 17:11:36.0
54,8A4661F7-400B-4E38-88DD-83EE3E8C37E8,,Cades Cove Loop Road Closure on 9/8/22,grsm,"Cades Cove Loop Road will be closed on Thursday, September 8, until 3:30 PM to accommodate the Congressional Medal of Honor event. The closure will go into effect Wednesday evening.",Park Closure,2022-09-06 15:36:08.0
55,9B98D05C-0E8A-4B88-B5E0-75C54A063638,,Water Hazards Still Present,amis,"Despite increasing water levels, underwater hazards are still present in the lake. Please be extra vigilant for potential damage to boat or other injury.",Danger,2022-09-06 15:21:13.0
56,F9F6925F-2E0C-4D80-B1E7-E43A2350C189,https://www.nps.gov/bibe/learn/news/storm-damage-to-lost-mine-trail-and-scenic-drive.htm,Ross Maxwell Scenic Drive CLOSED past Mule Ears Overlook,bibe,High water and debris from heavy rains have damaged the Ross Maxwell Scenic Drive south of Mule Ears Overlook. The scenic drive is currently CLOSED at that point until road crews can repair the damage and make it safe for vehicle traffic.,Park Closure,2022-09-06 15:17:01.0
57,13D6384C-4A61-487F-831D-468E380BDFCB,,Clingmans Dome Road Closure on 9/7/22,grsm,"Clingmans Dome Road will be closed Wednesday morning, September 7th, until 1:00 PM to facilitate a special curriculum-based education program. The closure will go into effect on Tuesday evening.",Park Closure,2022-09-06 14:48:31.0
58,0B2D327C-40DA-4F83-B73A-734A98A96AAF,https://www.nps.gov/yell/planyourvisit/safety.htm,Bull Elk Are Extremely Dangerous,yell,"Be alert, especially this time of year around Mammoth Hot Springs. Elk run quickly, and may change direction without warning. You must remain at least 25 yards from all wildlife. If an elk charges, retreat!",Caution,2022-09-06 14:29:45.0
59,1F668686-B379-4B7D-BEAD-574C69DB0169,,Mountain Lion Activity Closure,care,The Fruita Campground Amphitheater and the Fremont River Trail from B Loop of the campground through the end of the trail are closed until further notice due to recent mountain lion activity.,Park Closure,2022-09-06 14:14:09.0
60,FDE5BA76-5430-454F-9A28-DAA98C6F4A63,https://www.nps.gov/crla/learn/news/crater-lake-national-park-implements-fire-ban-7-28-22.htm,Fire Ban remains in Effect,crla,"Fire danger remains high in Southern Oregon, thus a fire ban is in effect for Crater Lake National Park. Wood and charcoal fires are not allowed anywhere in the park. Click the link for all the restrictions regarding campfires, smoking, and fireworks.",Caution,2022-09-06 14:11:42.0
61,25A76041-7B8A-40C6-80B7-08031DBA0A79,https://www.nps.gov/olym/learn/news/roadclosuresfall2022.htm,Obstruction Point Road closed,olym,"Obstruction Point Road is closed for repairs beginning September 6, 2022. This closure will last until the end of the season.",Park Closure,2022-09-06 13:28:39.0
62,9E702D39-A39E-4290-9BBF-C6571B7BC11C,https://www.nps.gov/amis/planyourvisit/hunting.htm,Visitor Center Closed Weekends. Camping & Boating Permits May Be Purchased at Machines.,amis,"The Visitor Center is open Monday-Friday and closed Saturdays and Sundays. Camping and boating permits may be purchased on location from Ventek machines. Hunting permits may be purchased online (please allow up to 2 weeks to process, see link below.)",Park Closure,2022-09-06 13:11:20.0
63,91B266DE-BA49-4063-81FB-9D8E636D893C,,Excessive Heat Warning in Place,seki,"The National Weather Service issued an excessive heat warning for the Sierra Nevada foothills until 8:00 pm Friday. This affects lower elevations of Sequoia National Park. If you plan to visit or camp in the foothills area, be prepared for hot weather.",Caution,2022-09-06 12:47:52.0
64,6B431D2A-4B2D-414A-BE8D-17E77244F770,https://www.nps.gov/mora/planyourvisit/stevens-canyon-road-rehabilitation-project.htm,Stevens Canyon Road is closed Monday-Thursday from Stevens Creek to Box Canyon.,mora,"Stevens Canyon Road is closed between Stevens Creek and Box Canyon starting at 6:00 am each Monday through 8:00 pm each Thursday. During the closures, Box Canyon is only accessible from the east side (SR123/Stevens Canyon Entrance).",Park Closure,2022-09-06 10:52:26.0
65,8E908463-19A9-4B31-BB1B-FAFDC0DC62C6,,Glade Creek Road and Campground closed on September 7-8,neri,Glade Creek Road will be closed just past Grandview Sandbar Campground starting on the evening of September 6. It is intended to be reopened by the morning of September 9. Glade Creek Campground and Glade Creek Trail will be inaccessible during this time.,Park Closure,2022-09-06 10:49:58.0
66,46113AE8-A78D-40A0-A56B-F59D1AAC2E2D,https://www.nps.gov/chsc/learn/news/2022-visitor-center-days-hours-of-operation.htm?fbclid=IwAR0zglj0Pax2y-esl_SPFO3Vq2iiQ97GuTGs_Tdvu0gbGFdr1CpdrbzBe7Y,Little Rock Central High School National Historic Site visitor center closures - September 2022,chsc,The Central High School NHS Visitor Center is open Tuesday through Saturday (10:00 a.m. CST/CDT to 4:00 p.m. CST/CDT). Guests may visit the NHS daily; use the NPS App for digital content on days when the visitor center is closed.,Information,2022-09-06 10:15:39.0
67,AA4ABFD8-D402-4DC1-B83C-4CFFF9235A7D,,Lifeguards not on duty after Labor Day,gate,"Lifeguards will not be on duty after Labor Day at Sandy Hook, Jacob Riis and Great Kills Park. Swimming is prohibited when lifeguards are not on duty.",Caution,2022-09-06 10:09:19.0
68,36268A86-6305-4E22-9F9B-9C4A366910F2,,Jacob Riis Park Bays 3-5 closed to beach access,gate,Jacob Riis Park Bays 3-5:Closed to beach access due to unsafe conditions from severe erosion.,Park Closure,2022-09-06 10:07:55.0
69,F11F0C1E-43C6-4FDF-ABA9-BC9523F3B7FC,https://covid.cdc.gov/covid-data-tracker/#county-view?list_select_state=Arkansas&data-type=CommunityLevelsνll=CommunityLevels&list_select_county=5119,"Mask Status in Site Buildings (NHS Visitor Center) - MASKS OPTIONAL - Week of September 4, 2022",chsc,"The NPS has updated its masking guidance to align with the CDC's new COVID-19 Community Levels tool, which helps communities decide what prevention steps to take. Each Monday, Central High School NHS will update the mask status here for the week ahead.",Information,2022-09-06 10:04:19.0
70,8C0AB6DE-10CA-475C-876B-A5695C62715E,https://www.nps.gov/aboutus/news/public-health-update.htm,"Masks Required in Visitor Center - week of September 4, 2022",chsc,"Consistent with CDC guidance regarding areas at a MEDIUM COVID-19 community level, masks are optional for visitors to Little Rock Central High School NHS, regardless of vaccination status, inside all park buildings.",Information,2022-09-06 10:03:18.0
71,FFBBB1D5-CC64-48A1-868E-56797F968A68,,Esch Road Closure,slbe,Esch Road west of M-22 is closed until further notice. Benzie County is reconstructing the road. Access the Otter Creek Loop section of the Platte Plains Trail via Trails End Road. Visit Peterson Beach for beach access.,Park Closure,2022-09-06 08:15:43.0
72,755258A1-C9DB-4EF0-A263-58B6CE3328FB,,"Ironman Triathlon: Sunday, September 11, 2022",slbe,The race takes place on M-22 and will have a significant impact on local traffic. M-22 will be closed between Esch road and Frankfort until 2 PM. Lake Michigan Road will not be accessible.,Park Closure,2022-09-06 08:09:23.0
73,7EC9BB9F-7A1A-4B05-9C87-A631E3DFAD29,,Visitor Centers closed for the season,kefj,Both the Exit Glacier Nature Center and the Visitor Center in the Seward Small Boat Harbor are closed for the season. They will reopen in spring 2023,Information,2022-09-06 00:11:19.0
74,13B5DCCD-412B-4A89-AE39-68F2E489097B,https://www.nps.gov/chis/learn/news/pr02172022.htm,Public Closure of East Anacapa Island,chis,East Anacapa Island including the campground will be closed for dock construction starting February 2022. Construction is expected to last ten months but may take longer due to the challenges of offshore construction projects.,Park Closure,2022-09-05 22:05:32.0
75,CEEF36ED-8799-42C9-8628-20BBBF3519CC,,"Visiting Requirements Updated September 6, 2022",inde,"Masks are not required for entry, but you may choose to wear one. Entrance to Independence Hall is by tour only; timed entry tickets are required from 9AM to 5PM.",Information,2022-09-05 19:05:24.0
76,035556BD-DCFC-43C6-8B5C-FBFA7008F439,,Fort Donelson NB Park Access,fodo,Visitor Access to Fort Donelson NB Park Lands: Pedestrian Access is from sunrise to sunset. Automobile Access to Fort Donelson NB Park Roads 8:00 am – 6:00 p.m. daily.,Information,2022-09-05 11:44:23.0
77,DE54A0D6-A86A-4394-98BF-FC346F47DEDE,,Fall 2022 Operating Hours for Visitor Center and Museum,cane,"The Visitor Center and Museum is open 5-days (Wednesday-Sunday). Operating hours are 9:00 am to 5:00 pm. The grounds (including all trails) at Camp Nelson National Monument are open 7-days a week, sunrise to sunset.",Information,2022-09-04 12:57:34.0
78,BD0F57D4-1EA1-42B2-9E97-A4F5D0D0A338,https://www.nps.gov/morr/planyourvisit/fees.htm,4th Grade Passes Temporarily Unavailable,morr,"Our stock of free America The Beautiful - Every Kid Outdoors 4th Grade Passes has run out. We expect more soon. In the meantime, please contact other parks or order yours online.",Information,2022-09-04 10:25:43.0
79,00976070-778C-4640-BE9E-C801C3ED5289,,Park buildings hours change September 4th,morr,"Beginning September 4, 2022, hours for park buildings will change--the Washington's Headquarters Musuem and the Jockey Hollow Visitor Center will be open Thursday-Sunday 10 AM to 4 PM. For more information, call 973 539 2016 x210",Information,2022-09-04 10:25:00.0
80,0AE6DAEB-880E-458B-A163-62849E27B7B7,,Face masks are required indoors at the Chalmette Battlefield Visitor Center.,jela,"Consistent with CDC guidance, visitors to these visitor centers are now required to wear a mask indoors, regardless of vaccination status, due to the current high COVID transmission rates: Chalmette, Barataria, & Acadian Cultural Center in Lafayette.",Information,2022-09-03 15:48:42.0
81,65B427F1-9A7C-407E-8866-3EF948151C6A,https://www.nps.gov/noca/planyourvisit/trail-conditions.htm,Trail and Camp Closures for Lightning Creek Trail Area of Ross Lake,noca,Lightning Creek Trail between Lightning Creek and Nightmare camps is closed due to fire activity in the area. Camp closures include Deer Lick and Nightmare camps.,Park Closure,2022-09-03 13:43:46.0
82,61761064-F759-4F71-928E-432B533E3799,,"Plains High School Visitor Center and Museum, Jimmy Carter Boyhood Farm, and Plains Depot are open.",jica,"Due to decreased levels of transmission, the CDC has recently lowered the COVID-19 Community Levels for Sumter County to “Low”. Masks are not required in NPS buildings.",Information,2022-09-03 13:35:06.0
